"label","n","parent","id"
"total",133556,NA,"total"
"Action",18075,"total","total  -  Action"
"Adult",30,"total","total  -  Adult"
"Adventure",10663,"total","total  -  Adventure"
"Animation",4548,"total","total  -  Animation"
"Biography",744,"total","total  -  Biography"
"Comedy",17260,"total","total  -  Comedy"
"Crime",12800,"total","total  -  Crime"
"Documentary",2607,"total","total  -  Documentary"
"Drama",31390,"total","total  -  Drama"
"Family",1947,"total","total  -  Family"
"Fantasy",3164,"total","total  -  Fantasy"
"Film Noir",1,"total","total  -  Film Noir"
"Game Show",496,"total","total  -  Game Show"
"History",547,"total","total  -  History"
"Horror",2875,"total","total  -  Horror"
"Music",987,"total","total  -  Music"
"Musical",202,"total","total  -  Musical"
"Mystery",4748,"total","total  -  Mystery"
"Reality TV",884,"total","total  -  Reality TV"
"Romance",8719,"total","total  -  Romance"
"Sci Fi",2802,"total","total  -  Sci Fi"
"Short",412,"total","total  -  Short"
"Sport",823,"total","total  -  Sport"
"Talk Show",9,"total","total  -  Talk Show"
"Thriller",5931,"total","total  -  Thriller"
"War",356,"total","total  -  War"
"Western",536,"total","total  -  Western"
"Argentina",137,"total  -  Action","total  -  Action  -  Argentina"
"Argentina",98,"total  -  Adventure","total  -  Adventure  -  Argentina"
"Argentina",53,"total  -  Animation","total  -  Animation  -  Argentina"
"Argentina",8,"total  -  Biography","total  -  Biography  -  Argentina"
"Argentina",170,"total  -  Comedy","total  -  Comedy  -  Argentina"
"Argentina",134,"total  -  Crime","total  -  Crime  -  Argentina"
"Argentina",25,"total  -  Documentary","total  -  Documentary  -  Argentina"
"Argentina",377,"total  -  Drama","total  -  Drama  -  Argentina"
"Argentina",14,"total  -  Family","total  -  Family  -  Argentina"
"Argentina",19,"total  -  Fantasy","total  -  Fantasy  -  Argentina"
"Argentina",6,"total  -  History","total  -  History  -  Argentina"
"Argentina",35,"total  -  Horror","total  -  Horror  -  Argentina"
"Argentina",37,"total  -  Music","total  -  Music  -  Argentina"
"Argentina",1,"total  -  Musical","total  -  Musical  -  Argentina"
"Argentina",59,"total  -  Mystery","total  -  Mystery  -  Argentina"
"Argentina",100,"total  -  Romance","total  -  Romance  -  Argentina"
"Argentina",11,"total  -  Sci Fi","total  -  Sci Fi  -  Argentina"
"Argentina",2,"total  -  Short","total  -  Short  -  Argentina"
"Argentina",10,"total  -  Sport","total  -  Sport  -  Argentina"
"Argentina",77,"total  -  Thriller","total  -  Thriller  -  Argentina"
"Argentina",3,"total  -  War","total  -  War  -  Argentina"
"Argentina",4,"total  -  Western","total  -  Western  -  Argentina"
"Australia",189,"total  -  Action","total  -  Action  -  Australia"
"Australia",130,"total  -  Adventure","total  -  Adventure  -  Australia"
"Australia",50,"total  -  Animation","total  -  Animation  -  Australia"
"Australia",14,"total  -  Biography","total  -  Biography  -  Australia"
"Australia",187,"total  -  Comedy","total  -  Comedy  -  Australia"
"Australia",144,"total  -  Crime","total  -  Crime  -  Australia"
"Australia",47,"total  -  Documentary","total  -  Documentary  -  Australia"
"Australia",306,"total  -  Drama","total  -  Drama  -  Australia"
"Australia",37,"total  -  Family","total  -  Family  -  Australia"
"Australia",46,"total  -  Fantasy","total  -  Fantasy  -  Australia"
"Australia",8,"total  -  Game Show","total  -  Game Show  -  Australia"
"Australia",9,"total  -  History","total  -  History  -  Australia"
"Australia",26,"total  -  Horror","total  -  Horror  -  Australia"
"Australia",1,"total  -  Music","total  -  Music  -  Australia"
"Australia",2,"total  -  Musical","total  -  Musical  -  Australia"
"Australia",46,"total  -  Mystery","total  -  Mystery  -  Australia"
"Australia",24,"total  -  Reality TV","total  -  Reality TV  -  Australia"
"Australia",73,"total  -  Romance","total  -  Romance  -  Australia"
"Australia",46,"total  -  Sci Fi","total  -  Sci Fi  -  Australia"
"Australia",6,"total  -  Short","total  -  Short  -  Australia"
"Australia",15,"total  -  Sport","total  -  Sport  -  Australia"
"Australia",51,"total  -  Thriller","total  -  Thriller  -  Australia"
"Australia",9,"total  -  War","total  -  War  -  Australia"
"Australia",5,"total  -  Western","total  -  Western  -  Australia"
"Austria",205,"total  -  Action","total  -  Action  -  Austria"
"Austria",2,"total  -  Adult","total  -  Adult  -  Austria"
"Austria",127,"total  -  Adventure","total  -  Adventure  -  Austria"
"Austria",35,"total  -  Animation","total  -  Animation  -  Austria"
"Austria",13,"total  -  Biography","total  -  Biography  -  Austria"
"Austria",189,"total  -  Comedy","total  -  Comedy  -  Austria"
"Austria",161,"total  -  Crime","total  -  Crime  -  Austria"
"Austria",34,"total  -  Documentary","total  -  Documentary  -  Austria"
"Austria",330,"total  -  Drama","total  -  Drama  -  Austria"
"Austria",36,"total  -  Family","total  -  Family  -  Austria"
"Austria",54,"total  -  Fantasy","total  -  Fantasy  -  Austria"
"Austria",6,"total  -  Game Show","total  -  Game Show  -  Austria"
"Austria",6,"total  -  History","total  -  History  -  Austria"
"Austria",36,"total  -  Horror","total  -  Horror  -  Austria"
"Austria",1,"total  -  Music","total  -  Music  -  Austria"
"Austria",1,"total  -  Musical","total  -  Musical  -  Austria"
"Austria",58,"total  -  Mystery","total  -  Mystery  -  Austria"
"Austria",10,"total  -  Reality TV","total  -  Reality TV  -  Austria"
