"id","n","label","parent"
"total  -  Romance  -  Bolivia",107,"Bolivia","total  -  Romance"
"total  -  Thriller  -  Bolivia",52,"Bolivia","total  -  Thriller"
"total  -  Action  -  Brazil",163,"Brazil","total  -  Action"
"total  -  Adventure  -  Brazil",157,"Brazil","total  -  Adventure"
"total  -  Animation  -  Brazil",67,"Brazil","total  -  Animation"
"total  -  Comedy  -  Brazil",206,"Brazil","total  -  Comedy"
"total  -  Crime  -  Brazil",115,"Brazil","total  -  Crime"
"total  -  Drama  -  Brazil",310,"Brazil","total  -  Drama"
"total  -  Family  -  Brazil",104,"Brazil","total  -  Family"
"total  -  Music  -  Brazil",42,"Brazil","total  -  Music"
"total  -  Mystery  -  Brazil",42,"Brazil","total  -  Mystery"
"total  -  Romance  -  Brazil",118,"Brazil","total  -  Romance"
"total  -  Thriller  -  Brazil",59,"Brazil","total  -  Thriller"
"total  -  Action  -  Bulgaria",219,"Bulgaria","total  -  Action"
"total  -  Adventure  -  Bulgaria",127,"Bulgaria","total  -  Adventure"
"total  -  Animation  -  Bulgaria",48,"Bulgaria","total  -  Animation"
"total  -  Comedy  -  Bulgaria",193,"Bulgaria","total  -  Comedy"
"total  -  Crime  -  Bulgaria",128,"Bulgaria","total  -  Crime"
"total  -  Drama  -  Bulgaria",325,"Bulgaria","total  -  Drama"
"total  -  Fantasy  -  Bulgaria",38,"Bulgaria","total  -  Fantasy"
"total  -  Mystery  -  Bulgaria",45,"Bulgaria","total  -  Mystery"
"total  -  Romance  -  Bulgaria",95,"Bulgaria","total  -  Romance"
"total  -  Sci Fi  -  Bulgaria",38,"Bulgaria","total  -  Sci Fi"
"total  -  Thriller  -  Bulgaria",54,"Bulgaria","total  -  Thriller"
"total  -  Action  -  Canada",183,"Canada","total  -  Action"
"total  -  Adventure  -  Canada",98,"Canada","total  -  Adventure"
"total  -  Animation  -  Canada",49,"Canada","total  -  Animation"
"total  -  Comedy  -  Canada",168,"Canada","total  -  Comedy"
"total  -  Crime  -  Canada",155,"Canada","total  -  Crime"
"total  -  Documentary  -  Canada",39,"Canada","total  -  Documentary"
"total  -  Drama  -  Canada",296,"Canada","total  -  Drama"
"total  -  Mystery  -  Canada",55,"Canada","total  -  Mystery"
"total  -  Romance  -  Canada",77,"Canada","total  -  Romance"
"total  -  Thriller  -  Canada",70,"Canada","total  -  Thriller"
"total  -  Action  -  Chile",131,"Chile","total  -  Action"
"total  -  Adventure  -  Chile",115,"Chile","total  -  Adventure"
"total  -  Animation  -  Chile",71,"Chile","total  -  Animation"
"total  -  Comedy  -  Chile",199,"Chile","total  -  Comedy"
"total  -  Crime  -  Chile",100,"Chile","total  -  Crime"
"total  -  Drama  -  Chile",343,"Chile","total  -  Drama"
"total  -  Music  -  Chile",36,"Chile","total  -  Music"
"total  -  Mystery  -  Chile",43,"Chile","total  -  Mystery"
"total  -  Romance  -  Chile",123,"Chile","total  -  Romance"
"total  -  Thriller  -  Chile",56,"Chile","total  -  Thriller"
"total  -  Action  -  Colombia",145,"Colombia","total  -  Action"
"total  -  Adventure  -  Colombia",105,"Colombia","total  -  Adventure"
"total  -  Animation  -  Colombia",58,"Colombia","total  -  Animation"
"total  -  Comedy  -  Colombia",197,"Colombia","total  -  Comedy"
"total  -  Crime  -  Colombia",108,"Colombia","total  -  Crime"
"total  -  Documentary  -  Colombia",40,"Colombia","total  -  Documentary"
"total  -  Drama  -  Colombia",302,"Colombia","total  -  Drama"
"total  -  Mystery  -  Colombia",45,"Colombia","total  -  Mystery"
"total  -  Romance  -  Colombia",109,"Colombia","total  -  Romance"
"total  -  Thriller  -  Colombia",72,"Colombia","total  -  Thriller"
"total  -  Action  -  Costa Rica",126,"Costa Rica","total  -  Action"
"total  -  Adventure  -  Costa Rica",95,"Costa Rica","total  -  Adventure"
"total  -  Animation  -  Costa Rica",57,"Costa Rica","total  -  Animation"
"total  -  Comedy  -  Costa Rica",204,"Costa Rica","total  -  Comedy"
"total  -  Crime  -  Costa Rica",98,"Costa Rica","total  -  Crime"
"total  -  Drama  -  Costa Rica",334,"Costa Rica","total  -  Drama"
"total  -  Horror  -  Costa Rica",33,"Costa Rica","total  -  Horror"
"total  -  Music  -  Costa Rica",33,"Costa Rica","total  -  Music"
"total  -  Mystery  -  Costa Rica",41,"Costa Rica","total  -  Mystery"
"total  -  Romance  -  Costa Rica",131,"Costa Rica","total  -  Romance"
"total  -  Thriller  -  Costa Rica",68,"Costa Rica","total  -  Thriller"
"total  -  Action  -  Croatia",176,"Croatia","total  -  Action"
"total  -  Adventure  -  Croatia",115,"Croatia","total  -  Adventure"
